code,system
J411.00,readv2
J437.00,readv2
J4z3.00,readv2
J410100,readv2
J4...11,readv2
J4z5.00,readv2
J4z6.00,readv2
J438.00,readv2
J41..11,readv2
J41..12,readv2
J41yz00,readv2
J41z.00,readv2
J41y.00,readv2
J401200,readv2
J400500,readv2
J40..11,readv2
J40z.11,readv2
J43..00,readv2
J40..00,readv2
J400.00,readv2
J402.00,readv2
J412.00,readv2
J410000,readv2
J431200,readv2
J431300,readv2
J400200,readv2
J400300,readv2
J400400,readv2
J410.00,readv2
J410z00,readv2
J435.00,readv2
J401z00,readv2
J410200,readv2
J413.00,readv2
J400z00,readv2
J4z2.00,readv2